Waktu aktual	Actual time
Pilih sumber untuk memuat gunung api.	Select a source to load volcanoes.
VolcanoDiscovery · gunung api saja	VolcanoDiscovery · volcanoes only
Gabungan sumber (tanpa duplikasi)	Combined sources (deduplicated)
Status resmi USGS	Official USGS status
Lokasi gunung dunia (GDACS)	Global volcano locations (GDACS)
Prioritas oranye & merah	Orange & red priority
Semua status	All statuses
NORMAL · Tenang	NORMAL · Quiet
ADVISORY · Perlu dipantau	ADVISORY · Monitoring needed
WATCH · Waspada tinggi	WATCH · Elevated alert
WARNING · Bahaya tinggi	WARNING · High danger
Level II (Waspada)	Level II (Advisory)
Level III (Siaga)	Level III (Watch)
Level IV (Awas)	Level IV (Warning)
UNKNOWN · Belum diketahui	UNKNOWN · Not yet known
Cari gunung	Search volcanoes
Nama atau wilayah	Name or region
Lihat semua	View all
Warna segitiga menunjukkan status resmi USGS. Lokasi dunia GDACS tanpa status resmi ditandai abu-abu.	Triangle colors indicate official USGS status. GDACS global locations without official status are gray.
Legenda status dan maknanya	Status legend and meanings
Aktivitas berada pada kondisi latar belakang normal, tidak erupsi.	Activity is at normal background levels, with no eruption.
Tenang/normal.	Quiet/normal.
Ada peningkatan aktivitas di atas normal, misalnya peningkatan gempa atau deformasi tanah, tetapi belum berarti erupsi akan terjadi.	Activity is above normal, such as increased earthquakes or ground deformation, but this does not mean an eruption will occur.
Mulai tidak normal, perlu dipantau.	Above normal; monitoring is needed.
Aktivitas meningkat/terus berkembang dan potensi erupsi meningkat, tetapi waktunya belum pasti; atau sudah terjadi erupsi tetapi bahayanya masih terbatas.	Activity is increasing and eruption potential is elevated, with uncertain timing; or an eruption is occurring with limited hazards.
Waspada tinggi / potensi erupsi meningkat.	Elevated alert / increased eruption potential.
Erupsi berbahaya sudah berlangsung, diperkirakan segera terjadi, atau diduga sedang terjadi.	A hazardous eruption is ongoing, expected imminently, or suspected.
Bahaya tinggi / erupsi berbahaya.	High danger / hazardous eruption.
Status resmi belum tersedia dari sumber ini. Abu-abu tidak berarti gunung dalam kondisi normal.	Official status is unavailable from this source. Gray does not mean normal conditions.
Daftar gunung	Volcano list
Hasil pencarian gunung api	Volcano search results
Data belum dimuat.	Data not loaded yet.
Kalibrasi	Calibration
Prakiraan Cuaca	Weather Forecast
Tampilan Suhu	Temperature Display
Kondisi Awan	Cloud Condition
Gempa Bumi	Earthquake
Kebakaran Hutan	Wildfire
Muat database	Load database
Pakai gedung	Use building
Bahasa narasi	Narrative language
Pengaturan / konfigurasi	Settings / konfigurasi
Tampilan akhir	Display final
Hanya penanda penyedia IP	IP provider marker only
Terapkan	Apply
Pusatkan	Center
Matahari + Bulan	Sun + Moon
5 tahun mundur/maju	5 years backward/forward
10 tahun mundur/maju	10 years backward/forward
Hitung Trajektori	Calculate trajectory
Historis sudah dilewati	Past history
Prediksi masa depan	Future prediction
Posisi timeline	Timeline position
Memuat zona waktu IANA...	Loading IANA timezones...
Memuat kalender Masehi, kalender Hijriah, dan jam...	Loading Gregorian and Hijri calendars and clock...
Memuat metode dari database...	Loading methods from database...
Mazhab Ashar	Madhab Asr
Memuat mazhab Ashar dari database...	Loading Asr schools from database...
Metode yang tampil di index.html	Methods displayed on index.html
Pilih 1 sampai 3 metode Falak. Metode utama dipakai untuk hitung mundur dan overlay.	Select 1 to 3 Falak methods. The primary method is used for countdowns and overlays.
Metode Falak yang ditampilkan	Displayed Falak methods
Metode utama index.html	Primary index.html method
Metode Ashar publik	Public Asr method
Parameter Falak selain Subuh dan Isya	Falak parameters other than Fajr and Isha
Atur Syuruq, Dhuha, Maghrib, kondisi atmosfer/elevasi, serta ihtiyat setiap waktu untuk masing-masing metode.	Set sunrise, Dhuha, Maghrib, atmospheric/elevation conditions, and precautionary offsets for each method.
Menunggu registry Falak...	Waiting for Falak registry...
Prakiraan Cuaca · 5 Hari	Weather Forecast · 5 Days
Satuan suhu	Temperature unit
Cuaca belum tersedia	Weather unavailable
Menunggu dataset provider.	Waiting for provider dataset.
Cloud cover numerik; raster/tile awan tidak dipaksakan.	Numeric cloud cover; cloud raster/tiles are optional.
Pemantauan Gempa Bumi	Earthquake Monitoring
Kebakaran / Titik Panas	Wildfire / Hotspot
Ikhtisar	Overview
Ikhtisar Astronomi	Astronomical Overview
Menyiapkan presentasi otomatis…	Preparing automatic presentation…
Menginisialisasi	Initializing
Coba: “ayat tentang waktu shalat” · “hadis tentang niat” · “2:255”	Try: “verses about prayer times” · “hadith about intention” · “2:255”
Arabic · Edisi sumber	Arabic · Source edition
English · Edisi sumber	English · Source edition
Bahasa Indonesia · Edisi sumber	Indonesian · Source edition
Validasi memeriksa lesson/unit, item key, teks Arab, sumber dan lisensi, duplikat, referensi Qur'an, kode Tajwid, rentang anotasi, warna pembelajaran, URL/provider audio, path lokal, serta checksum file. Keaslian sumber dan izin lisensi eksternal tetap memerlukan tinjauan manusia. Commit memerlukan otorisasi admin pada tab Sumber & Sinkronisasi dan tidak pernah mengubah teks Qur'an kanonik.	Validation checks lessons/units, item keys, Arabic text, sources and licenses, duplicates, Qur'an references, Tajwid codes, annotation ranges, learning colors, audio URLs/providers, local paths, and file checksums. Source authenticity and external licensing still require human review. Commit requires admin authorization in Sources & Sync and never changes canonical Qur'an text.
Reference parser, exact/FTS berbobot, kamus istilah, topik terkurasi, relasi verified, dan vektor konsep lokal. Indeks turunan dapat dibangun ulang tanpa mengubah teks kanonik.	Reference parser, weighted exact/FTS search, terminology dictionary, curated topics, verified relationships, and local concept vectors. Derived indexes can be rebuilt without changing canonical text.
Pencarian sumber hibrida · lokal/offline	Hybrid source retrieval · lokal/offline

Peta cuaca	Weather map
Jelajahi kondisi & prakiraan	Explore conditions & forecasts
Cari kota atau koordinat lintang, bujur	Search city or latitude, longitude
Cari kota atau lintang, bujur	Search city or latitude, longitude
Cari lokasi	Search location
Tutup cuaca	Close weather
Lapisan dan pengaturan cuaca	Weather layers and settings
LAPISAN PETA	MAP LAYERS
Pilih lapisan cuaca	Select weather layer
Arah & kecepatan	Direction & speed
Pengamatan radar	Radar observations
Citra satelit harian NASA Terra	NASA Terra daily satellite imagery
Suhu udara	Air temperature
Prakiraan hujan	Rain forecast
Persentase awan	Cloud percentage
Tekanan permukaan laut	Sea-level pressure
Peristiwa aktif	Active events
Pengaturan cuaca	Weather settings
Model prakiraan	Forecast model
Otomatis ? Best Match	Automatic ? Best Match
Metrik ? ?C, km/jam, mm	Metric ? ?C, km/h, mm
Imperial ? ?F, mph, inci	Imperial ? ?F, mph, inches
Gerakkan partikel angin saat diputar	Animate wind particles during playback
Model mengatur lapisan prakiraan. Radar, citra satelit, dan laporan badai mengikuti sumber pengamatannya.	The model controls forecast layers. Radar, satellite imagery and storm reports use their observational sources.
Perbarui data	Refresh data
Navigasi peta cuaca	Weather map navigation
Perbesar peta	Zoom in
Perkecil peta	Zoom out
Ke lokasi pengamat	Go to observer
Klik peta untuk prakiraan lokasi	Click the map for a location forecast
Prakiraan titik di lokasi pilihan	Point forecast at selected location
PRAKIRAAN TITIK	POINT FORECAST
Lokasi pilihan	Selected location
Tutup rincian lokasi	Close location details
Waktu prakiraan area angin	Wind area forecast time
Prakiraan per jam	Hourly forecast
Sumber prakiraan	Forecast source
Waktu dan legenda cuaca	Weather time and legend
PRAKIRAAN	FORECAST
PENGAMATAN	OBSERVATION
Pilih lapisan untuk menjelajahi cuaca	Select a layer to explore weather
Pilih badai untuk menampilkan lokasi dan panduan	Select a storm to display its location and guidance
Waktu sebelumnya	Previous time
Putar animasi	Play animation
Waktu berikutnya	Next time
Waktu belum tersedia	Time unavailable
Waktu perangkat	Device time
Penjelajah cuaca	Weather explorer
Tindakan belum dapat dijalankan. Coba lagi.	Unable to perform this action. Please retry.
PERINGATAN TORNADO	TORNADO WARNING
MONITORING BADAI	STORM MONITORING
Memuat jalur dan area resmi?	Loading official tracks and areas?
Memuat prakiraan lokasi?	Loading location forecast?
Waktu laporan belum tersedia	Report time unavailable
Prakiraan model untuk lokasi ini	Model forecast for this location
Memuat data cuaca?	Loading weather data?
Layar penuh tidak didukung pada browser ini.	Full screen is not supported by this browser.
negara belum dipilih	no country selected
batas belum tersedia	boundaries unavailable
Lokal ADM0	Local ADM0
Memuat cuaca?	Loading weather?
Batas ADM0 negara terpilih belum tersedia.	ADM0 boundaries for the selected country are unavailable.
Pembaruan gagal; data terakhir tetap ditampilkan.	Refresh failed; the latest cached data remains displayed.
Tidak ada sistem / peringatan aktif dalam cakupan sumber.	No active systems or warnings within source coverage.
Cuaca nonaktif	Weather disabled
Memuat frame berikutnya	Loading next frame
RADAR PENGAMATAN	OBSERVATIONAL RADAR
SATELIT HARIAN	DAILY SATELLITE
Rujukan VolcanoDiscovery	VolcanoDiscovery references
Rujukan ?30 hari (default)	References ?30 days (default)
Semua, termasuk lama/tanpa tanggal	All, including old/undated
Prioritas oranye & merah	Orange & red priority
Semua status	All statuses
Kemungkinan punah	Possibly extinct
Normal / dorman	Normal / dormant
Peningkatan aktivitas	Elevated activity
Aktivitas kecil / peringatan erupsi	Minor activity / eruption warning
Erupsi	Erupting
Erupsi besar	Major eruption
Kategori aktivitas VolcanoDiscovery; bukan status resmi USGS/PVMBG.	VolcanoDiscovery activity category; not an official USGS/PVMBG status.
Tenang / normal	Quiet / normal
Aktivitas berada pada kondisi latar belakang normal, tidak erupsi.	Activity is at normal background levels, without eruption.
Mulai tidak normal, perlu dipantau	Above normal; monitoring needed
Aktivitas meningkat di atas normal, misalnya gempa atau deformasi tanah. Belum berarti erupsi akan terjadi.	Activity has increased above normal, such as earthquakes or ground deformation. This does not necessarily mean an eruption will occur.
Waspada tinggi / potensi erupsi meningkat	Heightened alert / increased eruption potential
Aktivitas meningkat dan potensi erupsi bertambah, waktunya belum pasti; atau erupsi berlangsung dengan bahaya terbatas.	Activity and eruption potential have increased, with uncertain timing; or an eruption is underway with limited hazards.
Bahaya tinggi / erupsi berbahaya	High hazard / hazardous eruption
Erupsi berbahaya sedang berlangsung, diperkirakan segera terjadi, atau diduga sedang terjadi.	A hazardous eruption is underway, expected imminently, or suspected.
Status belum tersedia	Status unavailable
Sumber belum menyediakan status resmi untuk gunung ini.	The source has not provided an official status for this volcano.
Level II (Waspada)	Level II (Alert)
Level III (Siaga)	Level III (Standby)
Level IV (Awas)	Level IV (Warning)
MAGMA / PVMBG ? Waspada	MAGMA / PVMBG ? Alert
MAGMA / PVMBG ? Siaga	MAGMA / PVMBG ? Standby
MAGMA / PVMBG ? Awas	MAGMA / PVMBG ? Warning
Aktivitas berfluktuasi tanpa peningkatan yang signifikan. Ikuti rekomendasi resmi untuk gunung terkait.	Activity fluctuates without a significant increase. Follow official recommendations for the volcano.
Aktivitas mulai meningkat; pada beberapa gunung api dapat terjadi erupsi.	Activity is beginning to increase; eruptions may occur at some volcanoes.
Peningkatan aktivitas semakin nyata atau gunung api mengalami erupsi. Ikuti rekomendasi resmi PVMBG.	Activity is clearly increasing or the volcano is erupting. Follow official PVMBG recommendations.
Tingkat aktivitas tertinggi dalam sistem PVMBG. Ikuti rekomendasi resmi dan arahan petugas.	The highest activity level in the PVMBG system. Follow official recommendations and instructions.
VD ? Kemungkinan punah	VD ? Possibly extinct
VD ? Normal / dorman	VD ? Normal / dormant
VD ? Peningkatan aktivitas	VD ? Elevated activity
VD ? Aktivitas kecil / peringatan erupsi	VD ? Minor activity / eruption warning
VD ? Erupsi	VD ? Erupting
VD ? Erupsi besar	VD ? Major eruption
Jelajah cuaca	Explore weather
Aktifkan cuaca	Enable weather
Angin	Wind
Radar hujan	Rain radar
Satelit harian	Daily satellite
Suhu	Temperature
Hujan prakiraan	Forecast rain
Tutupan awan	Cloud cover
Tekanan	Pressure
Badai	Storms
Cuaca off	Weather off
Prakiraan angin ? km/h	Wind forecast ? km/h
Legenda cuaca	Weather legend
Animasi cuaca	Weather animation
Cakupan data cuaca	Weather data scope
Lapisan cuaca	Weather layer
Bingkai cuaca sebelumnya	Previous weather frame
Bingkai cuaca berikutnya	Next weather frame
Kecepatan putar cuaca	Weather playback speed
Waktu bingkai cuaca	Weather time frame
Tampilan lokal	Local viewport
Cakupan global	Global coverage
Overlay cuaca	Weather overlay
Jeda animasi	Pause animation
Terkini sumber (tanpa filter waktu)	Latest from source (no time filter)
BMKG: Indonesia, 15 kejadian terakhir pada feed; bukan arsip lengkap periode terpilih.	BMKG: Indonesia, the latest 15 feed events; not a complete archive of the selected period.
NOAA/NWS: peringatan aktif Amerika Serikat; sumber ini bukan arsip 1?30 hari.	NOAA/NWS: active United States warnings; this source is not a 1?30 day archive.
Status terakhir dari sumber; arsip status per periode tidak tersedia.	Latest status from source; status archives by period are unavailable.
Estimasi kualitas udara saat ini; bukan riwayat 1?30 hari.	Current air quality estimates; not a 1?30 day history.
Rentang waktu menyaring umur pembaruan deteksi. Hotspot aktif tanpa waktu hanya tampil pada Terkini sumber.	The time range filters the age of detection updates. Active hotspots without timestamps appear only under Latest from source.
Waktu kejadian disaring sesuai 1/5/10/30 hari terakhir.	Events are filtered to the last 1/5/10/30 days.
Perairan	Water features
Skala perairan	Water data scale
